seq,timestamp,rtt_ms,status,send_msg,ack_msg
70,2026-05-28T16:02:02,119.56541600000037,SUCCESS,"PING,70,1779955322.309","ACK,PING,70,1779955322.309,RSSI=-69"
71,2026-05-28T16:02:03,121.5757500000052,SUCCESS,"PING,71,1779955323.4337332","ACK,PING,71,1779955323.4337332,RSSI=-77"
72,2026-05-28T16:02:04,19.80191700000944,SUCCESS,"PING,72,1779955324.5606248","ACK,PING,72,1779955324.5606248,RSSI=-78"
73,2026-05-28T16:02:05,120.22762499999828,SUCCESS,"PING,73,1779955325.585758","ACK,PING,73,1779955325.585758,RSSI=-78"
74,2026-05-28T16:02:06,122.73770899999192,SUCCESS,"PING,74,1779955326.708956","ACK,PING,74,1779955326.708956,RSSI=-74"
75,2026-05-28T16:02:10,,TIMEOUT,"PING,75,1779955327.836958",
76,2026-05-28T16:02:11,112.5998750000008,SUCCESS,"PING,76,1779955331.842216","ACK,PING,76,1779955331.842216,RSSI=-73"
77,2026-05-28T16:02:13,119.87741599999424,SUCCESS,"PING,77,1779955332.960031","ACK,PING,77,1779955332.960031,RSSI=-74"
78,2026-05-28T16:02:14,426.02004200000465,SUCCESS,"PING,78,1779955334.085408","ACK,PING,78,1779955334.085408,RSSI=-74"
79,2026-05-28T16:02:15,122.54204199999208,SUCCESS,"PING,79,1779955335.516908","ACK,PING,79,1779955335.516908,RSSI=-74"
80,2026-05-28T16:02:16,121.71387500001174,SUCCESS,"PING,80,1779955336.644755","ACK,PING,80,1779955336.644755,RSSI=-80"
81,2026-05-28T16:02:18,231.78875000000687,SUCCESS,"PING,81,1779955337.7718039","ACK,PING,81,1779955337.7718039,RSSI=-76"
82,2026-05-28T16:02:22,,TIMEOUT,"PING,82,1779955339.0088",
83,2026-05-28T16:02:23,122.69329099999027,SUCCESS,"PING,83,1779955343.01586","ACK,PING,83,1779955343.01586,RSSI=-67"
84,2026-05-28T16:02:24,97.719749999996,SUCCESS,"PING,84,1779955344.143882","ACK,PING,84,1779955344.143882,RSSI=-69"
85,2026-05-28T16:02:25,19.51354199999855,SUCCESS,"PING,85,1779955345.246817","ACK,PING,85,1779955345.246817,RSSI=-68"
86,2026-05-28T16:02:26,121.98212500000238,SUCCESS,"PING,86,1779955346.270273","ACK,PING,86,1779955346.270273,RSSI=-68"
87,2026-05-28T16:02:27,16.648958000004654,SUCCESS,"PING,87,1779955347.397677","ACK,PING,87,1779955347.397677,RSSI=-68"
88,2026-05-28T16:02:28,124.36133299999597,SUCCESS,"PING,88,1779955348.4189801","ACK,PING,88,1779955348.4189801,RSSI=-68"
89,2026-05-28T16:02:29,140.04812499999275,SUCCESS,"PING,89,1779955349.546597","ACK,PING,89,1779955349.546597,RSSI=-68"
90,2026-05-28T16:02:30,110.20162500000197,SUCCESS,"PING,90,1779955350.691851","ACK,PING,90,1779955350.691851,RSSI=-68"
91,2026-05-28T16:02:34,,TIMEOUT,"PING,91,1779955351.80718",
92,2026-05-28T16:02:35,99.57066599999109,SUCCESS,"PING,92,1779955355.81424","ACK,PING,92,1779955355.81424,RSSI=-69"
93,2026-05-28T16:02:37,121.10554199999513,SUCCESS,"PING,93,1779955356.918827","ACK,PING,93,1779955356.918827,RSSI=-70"
94,2026-05-28T16:02:38,121.86499999999967,SUCCESS,"PING,94,1779955358.04528","ACK,PING,94,1779955358.04528,RSSI=-68"
95,2026-05-28T16:02:39,334.927332999996,SUCCESS,"PING,95,1779955359.1718268","ACK,PING,95,1779955359.1718268,RSSI=-74"
96,2026-05-28T16:02:40,113.63579199999663,SUCCESS,"PING,96,1779955360.512293","ACK,PING,96,1779955360.512293,RSSI=-74"
97,2026-05-28T16:02:41,131.10633299999108,SUCCESS,"PING,97,1779955361.631304","ACK,PING,97,1779955361.631304,RSSI=-76"
98,2026-05-28T16:02:42,108.33529199999248,SUCCESS,"PING,98,1779955362.76785","ACK,PING,98,1779955362.76785,RSSI=-75"
99,2026-05-28T16:02:44,127.20145800000182,SUCCESS,"PING,99,1779955363.879431","ACK,PING,99,1779955363.879431,RSSI=-76"
100,2026-05-28T16:02:45,421.2359999999933,SUCCESS,"PING,100,1779955365.011838","ACK,PING,100,1779955365.011838,RSSI=-76"
101,2026-05-28T16:02:46,22.481042000009666,SUCCESS,"PING,101,1779955366.4388218","ACK,PING,101,1779955366.4388218,RSSI=-74"
102,2026-05-28T16:02:47,23.78975000002015,SUCCESS,"PING,102,1779955367.462344","ACK,PING,102,1779955367.462344,RSSI=-75"
103,2026-05-28T16:02:48,129.5946669999921,SUCCESS,"PING,103,1779955368.490722","ACK,PING,103,1779955368.490722,RSSI=-76"
104,2026-05-28T16:02:49,115.8096660000183,SUCCESS,"PING,104,1779955369.622271","ACK,PING,104,1779955369.622271,RSSI=-75"
105,2026-05-28T16:02:50,27.318250000007538,SUCCESS,"PING,105,1779955370.7434082","ACK,PING,105,1779955370.7434082,RSSI=-75"
106,2026-05-28T16:02:51,117.44629099999315,SUCCESS,"PING,106,1779955371.773689","ACK,PING,106,1779955371.773689,RSSI=-77"
107,2026-05-28T16:02:52,15.623957999991944,SUCCESS,"PING,107,1779955372.896651","ACK,PING,107,1779955372.896651,RSSI=-76"
108,2026-05-28T16:02:56,,TIMEOUT,"PING,108,1779955373.91426",
109,2026-05-28T16:02:58,113.52416700000845,SUCCESS,"PING,109,1779955377.921201","ACK,PING,109,1779955377.921201,RSSI=-74"
110,2026-05-28T16:02:59,119.30137500002047,SUCCESS,"PING,110,1779955379.039941","ACK,PING,110,1779955379.039941,RSSI=-75"
111,2026-05-28T16:03:00,119.95033299999136,SUCCESS,"PING,111,1779955380.1646981","ACK,PING,111,1779955380.1646981,RSSI=-77"
